assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
0-setup,,,lucaabel,,,,0.0,0.0,0.0,1.0
0-setup,,,A-Pauline,,,,1.0,0.0,1.0,1.0
0-setup,,,Aastha-Thapaliya,,,,0.0,0.0,0.0,1.0
0-setup,,,Abhijna36,,,,1.0,0.0,1.0,1.0
0-setup,,,AdarShachath,,,,1.0,0.0,1.0,1.0
0-setup,,,ArefehRh,,,,0.0,0.0,0.0,1.0
0-setup,,,DARREN-2000,,,,0.0,0.0,0.0,1.0
0-setup,,,ElisabethMeier,,,,1.0,0.0,1.0,1.0
0-setup,,,Farhad-Valizadegan,,,,0.0,0.0,0.0,1.0
0-setup,,,FionaBeck,,,,1.0,0.0,1.0,1.0
0-setup,,,GhoshSrinjoy,,,,0.0,0.0,0.0,1.0
0-setup,,,Gnampfili,,,,1.0,0.0,1.0,1.0
0-setup,,,HaarisIqubal,,,,0.0,0.0,0.0,1.0
0-setup,,,Husseinymohammad,,,,1.0,0.0,1.0,1.0
0-setup,,,JaredJahnel,,,,1.0,0.0,1.0,1.0
0-setup,,,Kittykat002,,,,1.0,0.0,1.0,1.0
0-setup,,,KshitijDua,,,,1.0,0.0,1.0,1.0
0-setup,,,LeonHaack2001,,,,0.0,0.0,0.0,1.0
0-setup,,,MalenaGrimm,,,,0.0,0.0,0.0,1.0
0-setup,,,MichaelaHofmann,,,,1.0,0.0,1.0,1.0
0-setup,,,MoritzAschoff5,,,,1.0,0.0,1.0,1.0
0-setup,,,NurObj,,,,0.0,0.0,0.0,1.0
0-setup,,,Programmercloud-cmd,,,,1.0,0.0,1.0,1.0
0-setup,,,S-Uzun,,,,1.0,0.0,1.0,1.0
0-setup,,,SameenF,,,,1.0,0.0,1.0,1.0
0-setup,,,Samu1704,,,,1.0,0.0,1.0,1.0
0-setup,,,SugarSweetSour,,,,1.0,0.0,1.0,1.0
0-setup,,,Tejaswiyarlagadda-28,,,,1.0,0.0,1.0,1.0
0-setup,,,Vaish1795,,,,1.0,0.0,1.0,1.0
0-setup,,,ViRa2703,,,,1.0,0.0,1.0,1.0
0-setup,,,YasamanMoradifard,,,,1.0,0.0,1.0,1.0
0-setup,,,Youngtuotuo1,,,,1.0,0.0,1.0,1.0
0-setup,,,afsane18,,,,0.0,0.0,0.0,1.0
0-setup,,,aman-sayyad-02,,,,1.0,0.0,1.0,1.0
0-setup,,,apollonia99,,,,1.0,0.0,1.0,1.0
0-setup,,,einThilo,,,,1.0,0.0,1.0,1.0
0-setup,,,ghost,,,,0.0,0.0,0.0,1.0
0-setup,,,han-bur,,,,0.0,0.0,0.0,1.0
0-setup,,,harshjoshi23,,,,1.0,0.0,1.0,1.0
0-setup,,,jajawang,,,,0.0,0.0,0.0,1.0
0-setup,,,juliakuttner,,,,1.0,0.0,1.0,1.0
0-setup,,,lucianadcnsc,,,,1.0,0.0,1.0,1.0
0-setup,,,maria-tischer,,,,1.0,0.0,1.0,1.0
0-setup,,,mdtrch,,,,1.0,0.0,1.0,1.0
0-setup,,,meghvorafau,,,,1.0,0.0,1.0,1.0
0-setup,,,mgusyev,,,,1.0,0.0,1.0,1.0
0-setup,,,mishraanuraagx,,,,1.0,0.0,1.0,1.0
0-setup,,,parisa7103,,,,1.0,0.0,1.0,1.0
0-setup,,,pi52hedo,,,,1.0,0.0,1.0,1.0
0-setup,,,rachanakafle,,,,0.0,0.0,0.0,1.0
0-setup,,,rehmanazeem,,,,0.0,0.0,0.0,1.0
0-setup,,,safa0rhan,,,,0.0,0.0,0.0,1.0
0-setup,,,sebastianhoefler,,,,1.0,0.0,1.0,1.0
0-setup,,,taba-luca,,,,1.0,0.0,1.0,1.0
0-setup,,,teenanandwani,,,,1.0,0.0,1.0,1.0
0-setup,,,zubejda,,,,1.0,0.0,1.0,1.0
0-setup,,,GUNJANPALFAU,,,,0.0,0.0,0.0,1.0
0-setup,,,vijaygowda95,,,,0.0,0.0,0.0,1.0
0-setup,,,moestenfau,,,,0.0,0.0,0.0,1.0
0-setup,,,shalamitskaya,,,,0.0,0.0,0.0,1.0
0-setup,,,sophajey,,,,0.0,0.0,0.0,1.0
1-python-basics-I,,,lucaabel,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,A-Pauline,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Aastha-Thapaliya,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,Abhijna36,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,AdarShachath,,,,6.0,0.0,6.0,8.0
1-python-basics-I,,,ArefehRh,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,DARREN-2000,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,ElisabethMeier,,,,6.0,0.0,6.0,8.0
1-python-basics-I,,,Farhad-Valizadegan,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,FionaBeck,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,GhoshSrinjoy,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Gnampfili,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,HaarisIqubal,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Husseinymohammad,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,JaredJahnel,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Kittykat002,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,KshitijDua,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,LeonHaack2001,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,MalenaGrimm,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,MichaelaHofmann,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,MoritzAschoff5,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,NurObj,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,Programmercloud-cmd,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,S-Uzun,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,SameenF,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Samu1704,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,SugarSweetSour,,,,7.0,0.0,7.0,8.0
1-python-basics-I,,,Tejaswiyarlagadda-28,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,Vaish1795,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,ViRa2703,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,YasamanMoradifard,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,Youngtuotuo1,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,afsane18,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,aman-sayyad-02,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,apollonia99,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,einThilo,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,ghost,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,han-bur,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,harshjoshi23,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,jajawang,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,juliakuttner,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,lucianadcnsc,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,maria-tischer,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,mdtrch,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,meghvorafau,,,,7.0,0.0,7.0,8.0
1-python-basics-I,,,mgusyev,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,mishraanuraagx,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,parisa7103,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,pi52hedo,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,rachanakafle,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,rehmanazeem,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,safa0rhan,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,sebastianhoefler,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,taba-luca,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,teenanandwani,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,zubejda,,,,8.0,0.0,8.0,8.0
1-python-basics-I,,,GUNJANPALFAU,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,vijaygowda95,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,moestenfau,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,shalamitskaya,,,,0.0,0.0,0.0,8.0
1-python-basics-I,,,sophajey,,,,0.0,0.0,0.0,8.0
2-python-basics-II,,,lucaabel,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,A-Pauline,,,,7.5,0.0,7.5,10.0
2-python-basics-II,,,Aastha-Thapaliya,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,Abhijna36,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,AdarShachath,,,,7.5,0.0,7.5,10.0
2-python-basics-II,,,ArefehRh,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,DARREN-2000,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,ElisabethMeier,,,,9.5,0.0,9.5,10.0
2-python-basics-II,,,Farhad-Valizadegan,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,FionaBeck,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,GhoshSrinjoy,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,Gnampfili,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,HaarisIqubal,,,,8.0,0.0,8.0,10.0
2-python-basics-II,,,Husseinymohammad,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,JaredJahnel,,,,7.5,0.0,7.5,10.0
2-python-basics-II,,,Kittykat002,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,KshitijDua,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,LeonHaack2001,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,MalenaGrimm,,,,7.5,0.0,7.5,10.0
2-python-basics-II,,,MichaelaHofmann,,,,8.0,0.0,8.0,10.0
2-python-basics-II,,,MoritzAschoff5,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,NurObj,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,Programmercloud-cmd,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,S-Uzun,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,SameenF,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,Samu1704,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,SugarSweetSour,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,Tejaswiyarlagadda-28,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,Vaish1795,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,ViRa2703,,,,9.0,0.0,9.0,10.0
2-python-basics-II,,,YasamanMoradifard,,,,8.0,0.0,8.0,10.0
2-python-basics-II,,,Youngtuotuo1,,,,10.0,0.0,10.0,10.0
2-python-basics-II,,,afsane18,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,aman-sayyad-02,,,,0.0,0.0,0.0,10.0
2-python-basics-II,,,apollonia99,,,,10.0,0.0,10.0,10.0
